0.07,-544,-984,4352,33.38,-2470,-1852,-846,-0.22
0.13,-120,-440,4836,33.42,-2884,-250,-860,-0.09
0.20,-1268,-8,6892,33.38,-32768,2625,-6593,0
0.26,-2004,2552,14036,33.42,-32768,-2045,-13615,0.18
0.32,-3992,8936,4948,33.33,18340,640,11585,0.95
0.39,-512,-1644,6012,33.38,31315,-1804,4163,-0.27
0.45,-2808,-5252,6436,33.28,29579,1334,5023,-0.64
0.52,-328,-4216,6528,33.33,22450,7267,5202,-0.57
0.59,-1996,-4412,7508,33.42,21127,10398,-4191,-0.52
0.65,-4820,-8012,8160,33.33,19447,14362,5270,-0.7
0.71,3884,-13404,-4128,33.28,7647,11152,37,-1.17
0.78,-1512,-14540,1320,33.33,-11782,-7164,-174,-1.43
0.85,7544,-17944,32767,33.19,-23425,-1955,-13082,-0.49
0.91,136,-2136,6012,33.28,-3592,-8089,-1771,-0.34
0.97,-812,-1316,4620,33.19,577,-2890,341,-0.27
1.04,-1252,-1104,4368,33.28,436,-3450,100,-0.24
1.10,-960,-980,4196,33.24,19,-1884,-330,-0.22
1.16,160,-1428,4316,33.24,-921,-2033,-587,-0.32
1.22,-652,-940,4380,33.24,-2649,-2285,-774,-0.21
1.29,-632,-1464,4616,33.14,-2793,-1224,-2265,-0.3
1.35,-272,-716,4812,33.24,-2037,-399,-1046,-0.15
1.41,-2664,632,3012,33.19,-32768,2622,-3989,0.16
1.48,-3272,-6120,18548,33.14,-32768,-5700,-7732,-0.31
1.55,-5928,8412,1396,33.14,9664,-5028,1420,0.94
1.61,-1224,3132,5284,33.19,17715,-2440,2395,0.52
1.68,-4132,-1060,4304,33.14,29918,896,9719,-0.18
1.73,1048,-3648,6396,33.19,32767,3753,6508,-0.51
1.80,-3196,-6552,10728,33.24,32767,7156,-717,-0.53
1.87,-208,-13876,10756,33.05,32767,11696,7305,-0.91
1.94,2956,-21988,-5588,33.05,9958,10279,-5311,-1.29
2.00,1252,13552,17772,33.09,-32768,-16437,-5018,0.65
2.07,-15496,-3036,10556,33.14,-18869,1489,-5851,-0.16
2.14,-344,-2956,6928,33,-3608,-8684,-1032,-0.4
2.20,-508,-1444,4772,33.09,853,-1856,306,-0.29
2.26,-576,-1104,4488,33.05,40,-2435,-95,-0.24
2.32,-620,-1084,4320,33.09,-1164,-6,-265,-0.24
2.38,-256,-1428,4648,33.05,-1605,-529,-631,-0.3
2.45,-392,-1432,4260,33.09,-1520,-800,-352,-0.32
2.51,-640,-1336,4340,33.05,167,-874,-322,-0.3
2.57,-8,-1736,4524,33.14,490,-734,-2041,-0.37
2.63,-304,624,4540,33.14,-9608,3823,-44,0.14
2.69,-916,2456,9100,33,-32768,7364,-6963,0.26
2.76,-7776,6732,21400,33.05,6077,-8973,-10218,0.29
2.82,904,3848,1736,33.09,11945,-3390,10757,1.1
2.88,-644,-724,4412,33,21565,-413,5662,-0.16
2.95,-2448,-3944,6344,33.14,24992,1396,4529,-0.53
3.01,-2348,-4724,4800,33,23856,4238,4324,-0.72
3.08,-3060,-3716,5988,32.91,16456,10333,2014,-0.5
3.14,-2788,-5580,5164,33,15716,1919,6758,-0.76
3.20,-64,-10076,2216,33.05,11148,4765,2303,-1.35
3.27,-456,-9124,-2648,33,-6333,-5456,3414,-1.28
3.34,2160,4872,112,33,-32768,-7283,-11811,1.15
